cell,low_b0,high_b0,b2,chip_atten,ours_atten,spec_atten,chip_residual,ours_residual
198,28,64,8,0.03368940016433852,0.12526926263463134,0.12891196247572878,-0.09522256231139026,-0.003642699841097441
199,28,68,8,0.037962202136401,0.10273405136702574,0.1403205713109581,-0.1023583691745571,-0.03758651994393236
200,28,72,8,0.049630238290879314,0.09726594863297444,0.14149293460401835,-0.09186269631313904,-0.04422698597104391
201,28,76,8,0.0604765817584223,0.12526926263463134,0.12398421279840832,-0.06350763103998602,0.0012850498362230178
202,28,80,8,0.08364831552999175,0.14034797017398515,0.12976629157337938,-0.04611797604338763,0.01058167860060577
203,28,84,8,0.10682004930156119,0.11698425849212923,0.1308195123354573,-0.023999463033896107,-0.013835253843328066
204,28,88,8,0.08874281018898933,0.09096934548467273,0.1370102986044266,-0.048267488415437265,-0.04604095311975387
205,28,92,8,0.22662284305669678,0.09246064623032302,0.13981291364958892,0.08680992940710786,-0.0473522674192659
206,28,96,8,0.2737880032867708,0.13140016570008273,0.14355499799932947,0.1302330052874413,-0.012154832299246743
207,28,100,8,0.2770747740345111,0.16122618061309035,0.12706025013380562,0.15001452390070547,0.034165930479284734
208,28,104,8,0.2627773212818405,0.15526097763048885,0.1333280155579133,0.1294493057239272,0.021932962072575557
209,28,108,8,0.285784716516023,0.25169842584921287,0.1531632761363514,0.1326214403796716,0.09853514971286148
210,28,112,8,0.2790468364831553,0.3111847555923778,0.1556362728029811,0.12341056368017422,0.1555484827893967
211,28,116,8,0.26310599835661463,0.2795360397680199,0.14690559411254622,0.11620040424406841,0.13263044565547366
213,32,36,8,0.13255504654943107,0.10496819145713432,0.16686400695127823,-0.034308960401847166,-0.06189581549414391
214,32,40,8,0.16166691295995284,0.11072402302332629,0.1604504845537349,0.0012164284062179398,-0.049726461530408606
215,32,44,8,0.1712723511157087,0.13405028779157835,0.13387640067825202,0.03739595043745669,0.000173887113326332
216,32,48,8,0.18782325993793414,0.1479854589518328,0.12215221978841928,0.06567104014951486,0.025833239163413513
217,32,52,8,0.20540860056154864,0.1267797637079674,0.1339022241380884,0.07150637642346025,-0.0071224604301209915
218,32,56,8,0.14038717304566273,0.15358982126628307,0.15749678987053428,-0.017109616824871554,-0.003906968604251215
219,32,60,8,0.13713610166986856,0.11405634656164809,0.1485753758245213,-0.011439274154652734,-0.0345190292628732
220,32,64,8,0.10477316388355262,0.12072099363829147,0.137630717313037,-0.032857553429484376,-0.016909723674745525
221,32,68,8,0.13270282252105814,0.14147228112693133,0.16581212076796703,-0.03310929824690889,-0.0243398396410357
222,32,72,8,0.10093098862125027,0.1446531354135111,0.14553643161136798,-0.044605442990117705,-0.0008832961978568754
223,32,76,8,0.06989803457957744,0.14586488942744635,0.14936307468298793,-0.07946504010341049,-0.003498185255541575
224,32,80,8,0.07861681690557121,0.12632535595274175,0.17248258800488625,-0.09386577109931504,-0.0461572320521445
225,32,84,8,0.04521944731786609,0.09784913662526507,0.15187558068579599,-0.1066561333679299,-0.05402644406053092
226,32,88,8,0.057484852962908395,0.11541956982732515,0.18354710197126534,-0.12606224900835694,-0.06812753214394018
227,32,92,8,0.05216491798433587,0.10845198424719782,0.16449649231457675,-0.11233157433024088,-0.05604450806737893
