cell_idx,low_b0,high_b0,b2,low_l,high_l,delta_l,delta_omega,cos_sim,chip_peak,chip_rms,ours_peak,ours_rms,rms_ratio,peak_ratio,chip_pre_rms,ours_pre_rms
502,4,32,20,9,15,6,0.102812,0.794403,8374.0,3984.1,8445.0,3880.5,1.0267,0.9916,4622.3,4562.9
503,4,36,20,9,16,7,0.114222,0.734962,7126.0,3489.1,7585.0,3728.7,0.9357,0.9395,4622.3,4562.9
504,4,40,20,9,17,8,0.124960,0.731091,7289.0,3543.1,7585.0,3785.7,0.9359,0.9610,4622.3,4562.9
505,4,44,20,9,18,9,0.135058,0.609835,8757.0,3718.0,8865.0,3874.8,0.9595,0.9878,4622.3,4562.9
506,4,48,20,9,19,10,0.144564,0.607893,7254.0,3506.7,8789.0,3772.6,0.9295,0.8253,4622.3,4562.9
507,4,52,20,9,20,11,0.153492,0.604020,7698.0,3501.0,7585.0,3876.3,0.9032,1.0149,4622.3,4562.9
508,4,56,20,9,21,12,0.161918,0.556244,7935.0,3587.7,7585.0,3883.3,0.9239,1.0461,4622.3,4562.9
509,4,60,20,9,23,14,0.169816,0.479235,8924.0,3701.8,9563.0,3768.8,0.9822,0.9332,4622.3,4562.9
510,4,64,20,9,24,15,0.177218,0.475977,8706.0,3849.8,7585.0,3792.8,1.0150,1.1478,4622.3,4562.9
511,4,68,20,9,26,17,0.184186,0.446252,7788.0,3096.5,9001.0,3655.1,0.8472,0.8652,4622.3,4562.9
512,4,72,20,9,27,18,0.190714,0.443621,7601.0,3127.0,9587.0,3666.2,0.8529,0.7928,4622.3,4562.9
513,4,76,20,9,29,20,0.196815,0.385358,7822.0,3182.1,7883.0,3720.0,0.8554,0.9923,4622.3,4562.9
514,4,80,20,9,31,22,0.202878,0.365365,7189.0,3149.5,9130.0,3845.8,0.8189,0.7874,4622.3,4562.9
515,4,84,20,9,33,24,0.208370,0.324358,8143.0,3404.2,9182.0,4013.1,0.8483,0.8868,4622.3,4562.9
516,4,88,20,9,35,26,0.213535,0.308884,10001.0,3634.4,10630.0,3928.3,0.9252,0.9408,4622.3,4562.9
517,4,92,20,9,37,28,0.218385,0.295049,11029.0,3656.0,9422.0,3814.3,0.9585,1.1706,4622.3,4562.9
518,4,96,20,9,40,31,0.222940,0.281429,10876.0,3616.8,9515.0,3671.3,0.9852,1.1430,4622.3,4562.9
519,4,100,20,9,42,33,0.227232,0.279943,11562.0,3566.9,9018.0,3626.9,0.9835,1.2821,4622.3,4562.9
520,4,104,20,9,45,36,0.231272,0.255188,12423.0,3594.6,8729.0,3581.0,1.0038,1.4232,4622.3,4562.9
521,4,108,20,9,48,39,0.235054,0.245478,10940.0,3364.7,8469.0,3363.2,1.0004,1.2918,4622.3,4562.9
522,4,112,20,9,51,42,0.238617,0.236817,8155.0,2904.6,7585.0,3092.0,0.9394,1.0751,4622.3,4562.9
523,4,116,20,9,54,45,0.241960,0.235173,8799.0,2882.4,7585.0,3189.6,0.9037,1.1601,4622.3,4562.9
524,8,8,20,10,10,0,0.000000,1.000000,7437.0,4736.6,7984.0,4655.2,1.0175,0.9315,4753.6,4668.8
525,8,12,20,10,11,1,0.016443,0.962258,7219.0,3791.3,7964.0,3914.7,0.9685,0.9065,4753.6,4668.8
526,8,16,20,10,11,1,0.031906,0.962258,7122.0,3618.5,7964.0,3864.9,0.9362,0.8943,4753.6,4668.8
527,8,20,20,10,12,2,0.046414,0.959462,7064.0,3450.8,7964.0,3887.5,0.8877,0.8870,4753.6,4668.8
528,8,24,20,10,13,3,0.060029,0.825127,7655.0,3378.4,7964.0,4244.5,0.7959,0.9612,4753.6,4668.8
